Application_ID,Full Name,Age,Location,Date,Loan Type,Marital Status,Collateral Type,Collateral Value,Employee_Status,Income,Loan Term,Loan Amount,Monthly Payment,Debt,Dti,LVR,Guarantor,Customer Status,Customer Relation,Interest Rate,Loan Reason,Credit History,Loan Status,Loan Binary Status,Guarantor Binary
KH00040,Y Virakvong,35,Battambang,2024-03-22,SME Loan,Married,House,98000,Full-time,1930,48,30500,760.4428634329765,400,20.73,31.12,Yes,New Customer,,7.4,Refinance,4,Approved,1,1
KH00041,VUTHY Virakroth,26,Prey Veng,2024-10-28,SME Loan,Divorce,Land,242000,Full-time,380,48,11500,287.81896970699034,300,78.95,4.75,Yes,New Customer,,8.2,Buy land,5,Approved,1,1
KH00042,SING Sokha,41,Battambang,2025-09-18,SME Loan,Single,Land,352500,Part-time,380,72,10500,197.71325597595072,300,78.95,2.98,Yes,New Customer,,9.0,Refinance,4,Approved,1,1
KH00044,CHHORN Borany,58,Phnom Penh,2024-02-16,SME Loan,Single,Car,22500,Part-time,230,96,10000,147.02131860483124,100,43.48,44.44,Yes,Existing Customer,Deposit,7.9,Refinance,4,Rejected,0,1
KH00047,RY Sreynich,57,Prey Veng,2024-07-27,SME Loan,Single,Land,96500,Self-employed,220,60,9500,200.44746987403053,150,68.18,9.84,No,New Customer,,7.9,Refinance,4,Rejected,0,0
KH00055,CHEAN Sakada,28,Kampot,2024-06-14,SME Loan,Married,House,39000,Part-time,250,108,11500,165.03490355621184,200,80.0,29.49,Yes,New Customer,,9.1,Loan Consolidation,5,Rejected,0,1
KH00060,THAY Vuthy,37,Kandal,2025-02-04,SME Loan,Divorce,Car,16500,Part-time,330,60,8000,167.62420599338034,250,75.76,48.48,Yes,New Customer,,8.0,Buy land,1,Rejected,0,1
KH00066,KEO Virakroth,24,Battambang,2025-08-22,SME Loan,Divorce,Land,63000,Full-time,310,96,6000,88.21279116289874,0,0.0,9.52,Yes,Existing Customer,KHQR,7.5,Refinance,4,Approved,1,1
KH00067,SOY Pisey,38,Kampot,2024-06-02,SME Loan,Married,Land,34000,Self-employed,350,72,20000,366.4952198938363,250,71.43,58.82,Yes,Existing Customer,Loan,8.1,Expand Farm,5,Rejected,0,1
KH00071,CHAN Vanna,27,Phnom Penh,2025-10-14,SME Loan,Divorce,House,148500,Full-time,820,84,18500,298.5876775670449,0,0.0,12.46,No,Existing Customer,Loan,7.4,Expanding Business,5,Approved,1,0
KH00072,PHEACH Chealong,49,Phnom Penh,2025-02-28,SME Loan,Single,House,188500,Self-employed,840,72,25000,468.20462776518553,350,41.67,13.26,Yes,New Customer,,8.6,Expand Farm,5,Rejected,0,1
KH00076,MEAS Borany,24,Phnom Penh,2024-11-20,SME Loan,Single,Car,63000,Part-time,230,72,8000,149.01482310927528,100,43.48,12.7,Yes,New Customer,,8.8,Loan Consolidation,5,Approved,1,1
KH00077,SREY Morokot,21,Kandal,2025-11-26,SME Loan,Married,House,93500,Self-employed,1090,108,31500,428.2729952565895,250,22.94,33.69,No,Existing Customer,Deposit,7.5,Buy land,3,Rejected,0,0
KH00080,PHAI Yim,29,Kampong Cham,2024-11-09,SME Loan,Married,Land,108500,Full-time,490,72,24500,460.0847642478352,350,71.43,22.58,Yes,New Customer,,9.0,Refinance,3,Approved,1,1
KH00081,CHEAB Sokha,59,Battambang,2025-11-14,SME Loan,Single,Land,74500,Full-time,1650,108,87500,1189.647209046082,0,0.0,117.45,No,Existing Customer,Deposit,10.2,Expand Farm,5,Approved,1,0
KH00085,DOUK Virakvong,61,Phnom Penh,2024-11-16,SME Loan,Married,Car,41500,Self-employed,770,60,32000,648.8446172292433,300,38.96,77.11,Yes,Existing Customer,Deposit,7.2,Buy land,4,Rejected,0,1
KH00086,CHAN Danuch,43,Kandal,2025-04-02,SME Loan,Single,House,390000,Self-employed,640,84,34500,553.3239196454588,200,31.25,8.85,Yes,Existing Customer,Card,7.7,Loan Consolidation,4,Rejected,0,1
KH00087,SENG Yim,53,Kampong Cham,2024-03-18,SME Loan,Married,House,148000,Full-time,220,84,10500,177.03706806154514,150,68.18,7.09,Yes,New Customer,,9.1,Refinance,5,Approved,1,1
KH00089,SING Chea,37,Phnom Penh,2025-01-15,SME Loan,Single,House,100000,Full-time,190,48,3500,86.76564392911126,0,0.0,3.5,Yes,New Customer,,9.1,Buy land,4,Approved,1,1
KH00091,HORN Nary,63,Phnom Penh,2024-11-25,SME Loan,Married,Car,33000,Full-time,1110,72,44000,793.1236354039556,200,18.02,133.33,Yes,Existing Customer,KHQR,10.2,Buy land,4,Rejected,0,1
KH00093,Y Darlin,37,Siem Reap,2025-09-07,SME Loan,Married,Car,72000,Self-employed,900,72,26500,484.2793065520815,550,61.11,36.81,No,Existing Customer,KHQR,8.1,Loan Consolidation,4,Rejected,0,0
KH00095,BOREY Morokot,34,Phnom Penh,2024-05-20,SME Loan,Single,House,129000,Full-time,280,60,11500,238.72108510306953,100,35.71,8.91,Yes,New Customer,,7.7,Refinance,3,Approved,1,1
KH00097,HUL Darlin,56,Kampot,2025-04-10,SME Loan,Married,Land,199500,Full-time,820,48,20000,489.19779556284016,0,0.0,10.03,Yes,Existing Customer,Loan,6.6,Loan Consolidation,4,Approved,1,1
KH00099,HORN Borany,51,Siem Reap,2025-09-09,SME Loan,Married,Land,54000,Full-time,880,60,35500,745.5660764949076,500,56.82,65.74,No,New Customer,,8.3,Refinance,4,Approved,1,0
KH00100,DARA Sokha,52,Battambang,2024-04-09,SME Loan,Divorce,Land,271000,Self-employed,150,48,4500,110.70503293678424,100,66.67,1.66,No,Existing Customer,Card,8.3,Loan Consolidation,4,Rejected,0,0
KH00101,RITH Soklin,23,Phnom Penh,2024-01-16,SME Loan,Single,House,184500,Full-time,280,72,12500,225.94010067709135,0,0.0,6.78,No,Existing Customer,Card,7.3,Loan Consolidation,4,Approved,1,0
KH00108,THAY David,32,Phnom Penh,2025-09-07,SME Loan,Married,House,104500,Self-employed,750,72,26000,479.0536478853961,0,0.0,24.88,Yes,New Customer,,8.7,Refinance,3,Rejected,0,1
KH00109,CHAN Sokhea,24,Prey Veng,2025-05-28,SME Loan,Single,House,46000,Self-employed,670,72,16000,288.4085946923475,0,0.0,34.78,Yes,Existing Customer,Deposit,7.6,Refinance,4,Approved,1,1
KH00111,Y Leng,26,Phnom Penh,2025-07-27,SME Loan,Single,House,140000,Self-employed,300,96,13500,202.00503356644415,200,66.67,9.64,Yes,Existing Customer,Loan,7.8,Buy land,1,Rejected,0,1
KH00112,KRY Nita,32,Prey Veng,2024-03-18,SME Loan,Single,House,56000,Full-time,380,60,9500,199.51768244229925,300,78.95,16.96,Yes,New Customer,,7.9,Refinance,3,Approved,1,1
KH00115,SING Sokha,38,Siem Reap,2024-02-23,SME Loan,Single,Land,153000,Part-time,310,60,10000,204.6836882417496,200,64.52,6.54,No,Existing Customer,Deposit,6.9,Expanding Business,4,Approved,1,0
KH00116,MEAS Borany,25,Kandal,2024-05-02,SME Loan,Divorce,House,41500,Full-time,240,108,6500,89.76084508895806,150,62.5,15.66,Yes,Existing Customer,KHQR,8.2,Loan Consolidation,1,Approved,1,1
KH00118,DOUK Virakvong,64,Kampong Cham,2025-06-18,SME Loan,Single,House,124500,Part-time,100,60,2500,52.260643303714474,50,50.0,2.01,No,New Customer,,9.5,Loan Consolidation,4,Rejected,0,0
KH00119,JONH Sreynit,61,Phnom Penh,2025-12-12,SME Loan,Married,Car,28500,Full-time,680,108,46500,657.1795721102307,300,44.12,163.16,No,New Customer,,11.4,Expanding Business,5,Rejected,0,0
KH00124,MAO Borany,46,Kandal,2024-05-19,SME Loan,Single,House,204000,Self-employed,600,36,5500,176.18122357430113,250,41.67,2.7,Yes,New Customer,,7.8,Expanding Business,4,Rejected,0,1
KH00125,SOY Virakroth,57,Battambang,2025-08-30,SME Loan,Single,Land,77000,Full-time,450,48,5500,137.65255072943015,250,55.56,7.14,Yes,New Customer,,8.0,Buy land,3,Approved,1,1
KH00126,CHAN Nita,33,Kampong Cham,2024-04-08,SME Loan,Married,Land,48000,Self-employed,410,84,13000,219.1887509333416,300,73.17,27.08,No,New Customer,,8.8,Loan Consolidation,5,Rejected,0,0
KH00128,RITH Monyka,64,Kampot,2025-11-01,SME Loan,Married,Land,320000,Full-time,560,72,20500,379.77967440329576,150,26.79,6.41,Yes,New Customer,,8.3,Expanding Business,5,Approved,1,1
KH00129,CHEAB Thyda,64,Phnom Penh,2025-05-11,SME Loan,Married,Land,975000,Part-time,290,48,6000,150.45245713611297,250,86.21,0.62,Yes,New Customer,,7.9,Buy land,4,Rejected,0,1
KH00134,MEAS David,45,Kampong Cham,2025-08-25,SME Loan,Married,Car,43000,Self-employed,660,96,12500,185.7317820726304,350,53.03,29.07,Yes,Existing Customer,Deposit,7.6,Loan Consolidation,3,Rejected,0,1
KH00135,SREY Nary,41,Battambang,2025-09-29,SME Loan,Married,House,218000,Part-time,640,48,15500,378.40029629329183,0,0.0,7.11,Yes,Existing Customer,Card,6.6,Loan Consolidation,1,Approved,1,1
KH00137,PHAI Ly,54,Phnom Penh,2025-01-27,SME Loan,Single,House,451500,Full-time,290,108,19500,268.23887507323946,150,51.72,4.32,Yes,Existing Customer,Loan,7.7,Buy land,5,Approved,1,1
KH00142,CHEAN Heng,44,Battambang,2025-01-29,SME Loan,Single,House,130000,Part-time,130,60,3000,61.69428391490024,100,76.92,2.31,Yes,Existing Customer,Card,8.5,Loan Consolidation,5,Approved,1,1
KH00145,MEAS Yim,26,Battambang,2025-09-25,SME Loan,Married,Land,133000,Full-time,410,60,10000,209.0425732148579,200,48.78,7.52,Yes,New Customer,,7.8,Expand Farm,5,Approved,1,1
KH00146,THAY Soklin,41,Kampong Cham,2025-11-16,SME Loan,Married,Land,180000,Self-employed,190,108,5500,77.13525817098974,0,0.0,3.06,No,New Customer,,8.4,Buy land,4,Rejected,0,0
KH00148,HONG Chhim,48,Prey Veng,2025-08-19,SME Loan,Single,House,98500,Self-employed,200,48,5500,134.78801390473205,50,25.0,5.58,Yes,Existing Customer,Card,6.5,Loan Consolidation,5,Approved,1,1
KH00150,HENG Ly,48,Battambang,2025-06-10,SME Loan,Single,Land,124500,Full-time,260,84,11000,178.65918155142765,150,57.69,8.84,No,Existing Customer,KHQR,7.7,Buy land,4,Approved,1,0
KH00152,SING Darlin,65,Kandal,2025-09-09,SME Loan,Married,Land,77500,Part-time,300,72,6000,112.36911066364452,200,66.67,7.74,Yes,New Customer,,9.2,Buy land,5,Approved,1,1
KH00157,DARA Nita,32,Kampot,2024-04-14,SME Loan,Single,House,62000,Part-time,400,48,5000,125.85458959086512,250,62.5,8.06,Yes,New Customer,,8.0,Expand Farm,4,Approved,1,1
KH00166,CHAN Nary,63,Phnom Penh,2025-02-07,SME Loan,Married,Car,18500,Full-time,590,108,21000,282.1798871233271,0,0.0,113.51,Yes,Existing Customer,Loan,10.0,Expand Farm,4,Approved,1,1
KH00167,CHAN Thyda,58,Battambang,2025-11-12,SME Loan,Married,Land,184000,Full-time,450,72,9500,178.4002147083443,350,77.78,5.16,Yes,New Customer,,8.9,Expand Farm,4,Approved,1,1
KH00168,PHEACH Soklin,42,Kampong Cham,2025-03-15,SME Loan,Divorce,Land,105500,Self-employed,690,48,22500,565.270575096059,300,43.48,21.33,Yes,New Customer,,7.9,Refinance,1,Rejected,0,1
KH00173,RITH Soklin,47,Kandal,2025-06-20,SME Loan,Married,House,98000,Full-time,610,108,17000,232.0354348045829,250,40.98,17.35,Yes,Existing Customer,Loan,7.7,Expand Farm,1,Approved,1,1
KH00175,CHEA Virakroth,48,Siem Reap,2024-02-27,SME Loan,Single,House,42500,Full-time,1240,60,33000,686.6284267028368,0,0.0,77.65,No,New Customer,,8.1,Buy land,4,Approved,1,0
KH00176,PRAK Pisey,39,Phnom Penh,2025-02-19,SME Loan,Married,House,112000,Part-time,410,48,16000,401.9701867349752,250,60.98,14.29,No,New Customer,,7.9,Refinance,4,Rejected,0,0
KH00177,RITH Ly,62,Kandal,2025-02-20,SME Loan,Married,Car,30000,Self-employed,470,36,3500,110.64863128911688,350,74.47,11.67,Yes,Existing Customer,Card,8.3,Expanding Business,4,Rejected,0,1
KH00178,CHAI Chhay,45,Kandal,2024-03-17,SME Loan,Married,House,30000,Full-time,340,48,8500,213.9528023044707,250,73.53,28.33,Yes,New Customer,,8.1,Expanding Business,4,Approved,1,1
KH00179,CHAN Chealong,55,Kandal,2024-04-02,SME Loan,Married,House,135500,Full-time,650,108,30000,407.87904310151384,200,30.77,22.14,Yes,Existing Customer,Deposit,7.7,Loan Consolidation,3,Approved,1,1
KH00181,CHAN Kim,53,Battambang,2024-04-08,SME Loan,Divorce,Land,365000,Unemployed,210,84,10000,163.43981681298558,150,71.43,2.74,Yes,Existing Customer,KHQR,8.1,Expand Farm,5,Rejected,0,1
KH00185,PISETH Kimheng,31,Prey Veng,2025-12-09,SME Loan,Married,House,347500,Full-time,650,96,13000,199.3337769523747,400,61.54,3.74,Yes,New Customer,,9.0,Loan Consolidation,3,Approved,1,1
KH00186,LUN Darlin,44,Kampong Cham,2025-03-27,SME Loan,Single,House,71500,Self-employed,750,36,15500,486.4290278331274,0,0.0,21.68,Yes,Existing Customer,Loan,6.6,Expanding Business,4,Rejected,0,1
KH00188,MAO Yim,30,Siem Reap,2024-07-02,SME Loan,Divorce,Car,23500,Full-time,630,60,13500,274.37786814454506,0,0.0,57.45,Yes,Existing Customer,Card,6.5,Refinance,5,Approved,1,1
KH00191,KEO Leng,42,Kandal,2024-10-23,SME Loan,Single,Car,18500,Part-time,180,96,9500,145.6669908498123,100,55.56,51.35,Yes,New Customer,,8.8,Expanding Business,5,Rejected,0,1
KH00194,PHAI Cheableng,60,Phnom Penh,2025-01-30,SME Loan,Single,Car,63000,Unemployed,260,60,8000,162.5942922338045,50,19.23,12.7,Yes,Existing Customer,Card,6.4,Loan Consolidation,3,Rejected,0,1
KH00195,CHEA Darlin,48,Phnom Penh,2024-12-06,SME Loan,Married,Land,1565500,Part-time,910,108,33000,464.5966451732515,0,0.0,2.11,No,New Customer,,8.5,Loan Consolidation,5,Approved,1,0
KH00198,HONG Soklin,36,Siem Reap,2024-05-02,SME Loan,Married,Car,38500,Full-time,340,96,11500,170.87323950682,150,44.12,29.87,Yes,Existing Customer,Deposit,7.9,Expanding Business,3,Approved,1,1
KH00202,JONH Leng,40,Kampot,2024-04-22,SME Loan,Married,Land,120000,Self-employed,180,96,8500,124.96812081410654,100,55.56,7.08,Yes,Existing Customer,Deposit,7.8,Buy land,1,Rejected,0,1
KH00204,PHEACH Nary,53,Kandal,2024-09-20,SME Loan,Married,House,239000,Self-employed,400,48,10500,262.29123495054796,200,50.0,4.39,No,New Customer,,7.8,Refinance,5,Rejected,0,0
KH00206,KEO Leng,54,Siem Reap,2025-10-16,SME Loan,Single,Land,58500,Self-employed,230,108,8500,117.37956665479132,200,86.96,14.53,No,Existing Customer,Card,8.2,Expanding Business,3,Rejected,0,0
KH00207,JONH Vuthy,42,Kampot,2025-01-21,SME Loan,Married,Land,103500,Full-time,200,72,4500,82.23610865978742,150,75.0,4.35,Yes,Existing Customer,Card,9.6,Expanding Business,4,Approved,1,1
KH00208,DOUK David,64,Siem Reap,2025-04-17,SME Loan,Married,House,180000,Part-time,320,60,10500,213.4050085568684,0,0.0,5.83,No,Existing Customer,Loan,6.5,Buy land,3,Rejected,0,0
KH00211,CHEAB Yim,24,Kandal,2025-05-02,SME Loan,Married,Land,76500,Full-time,770,72,30000,560.3243818354539,350,45.45,39.22,Yes,New Customer,,8.7,Buy land,4,Approved,1,1
KH00214,SOPHEAP Leng,49,Kampot,2024-02-16,SME Loan,Divorce,Land,340500,Self-employed,480,72,12000,218.6964043869228,350,72.92,3.52,Yes,Existing Customer,Card,8.0,Loan Consolidation,5,Rejected,0,1
KH00215,RITH Chhim,60,Phnom Penh,2025-08-07,SME Loan,Married,House,168000,Full-time,940,96,38000,562.6394622985331,400,42.55,22.62,Yes,Existing Customer,KHQR,7.6,Buy land,5,Approved,1,1
KH00220,BUT Sreynit,41,Kampong Cham,2024-12-18,SME Loan,Divorce,House,57000,Full-time,670,96,16500,245.1659523358722,450,67.16,28.95,No,Existing Customer,Card,7.9,Loan Consolidation,4,Approved,1,0
KH00221,PHAI Danuch,63,Phnom Penh,2025-06-24,SME Loan,Single,House,108500,Part-time,470,72,15000,270.38305752407575,0,0.0,13.82,No,Existing Customer,Loan,7.6,Expanding Business,5,Approved,1,0
KH00222,HOUEN Monyka,53,Phnom Penh,2025-10-01,SME Loan,Married,House,142500,Full-time,1190,108,71000,961.54651437274,350,29.41,49.82,No,Existing Customer,Card,7.3,Expand Farm,4,Approved,1,0
KH00228,Y Virakvong,57,Phnom Penh,2024-10-15,SME Loan,Married,House,137500,Full-time,790,60,21000,428.825750489544,250,31.65,15.27,Yes,Existing Customer,Card,6.7,Refinance,3,Approved,1,1
KH00229,LIN Pheakdey,40,Phnom Penh,2024-09-03,SME Loan,Married,House,100000,Full-time,4580,48,87000,2169.132102251441,0,0.0,87.0,Yes,New Customer,,9.0,Buy land,4,Approved,1,1
KH00230,THAY Socheata,47,Battambang,2024-02-19,SME Loan,Divorce,Land,126000,Full-time,770,60,31500,644.7536179615113,400,51.95,25.0,Yes,Existing Customer,Loan,6.8,Expanding Business,4,Approved,1,1
KH00232,RY Chamrouen,57,Kampot,2024-06-18,SME Loan,Single,House,228000,Full-time,210,60,6000,121.94571917535336,0,0.0,2.63,Yes,Existing Customer,Card,6.4,Refinance,3,Approved,1,1
KH00235,TAI Sakada,30,Siem Reap,2024-04-02,SME Loan,Married,Car,70500,Part-time,100,48,2000,49.485672309998016,100,100.0,2.84,No,Existing Customer,Deposit,8.6,Expanding Business,5,Rejected,0,0
KH00237,PHAI Pisey,36,Kampot,2024-04-15,SME Loan,Single,Land,54000,Part-time,410,72,9000,164.47221731957484,300,73.17,16.67,Yes,Existing Customer,Card,7.9,Buy land,4,Approved,1,1
KH00239,SENG Kim,38,Phnom Penh,2025-11-01,SME Loan,Married,House,280000,Part-time,840,108,15000,206.3375962101842,400,47.62,5.36,Yes,Existing Customer,Card,7.7,Refinance,3,Approved,1,1
KH00248,PISETH Bunthai,35,Kandal,2024-11-16,SME Loan,Married,House,244500,Part-time,210,36,2500,80.08237435195505,200,95.24,1.02,Yes,New Customer,,9.4,Buy land,1,Rejected,0,1
KH00251,CHAI David,64,Battambang,2024-08-03,SME Loan,Single,Car,51000,Full-time,300,108,21500,295.7505545679307,150,50.0,42.16,Yes,Existing Customer,KHQR,7.8,Refinance,3,Approved,1,1
KH00253,SENG Monyka,49,Kampong Cham,2024-04-16,SME Loan,Single,House,62000,Full-time,590,108,32500,447.0647917887324,400,67.8,52.42,Yes,Existing Customer,Loan,8.1,Buy land,3,Approved,1,1
KH00255,DARA Soklin,52,Battambang,2025-06-02,SME Loan,Married,Land,47500,Full-time,100,36,1500,47.21241865073887,50,50.0,3.16,No,Existing Customer,Card,8.4,Refinance,4,Approved,1,0
KH00257,JONH Dyna,44,Kandal,2024-10-25,SME Loan,Married,House,253500,Full-time,570,60,25500,523.1715488398071,300,52.63,10.06,Yes,Existing Customer,KHQR,6.9,Buy land,2,Approved,1,1
KH00262,CHEA Leakhena,21,Phnom Penh,2024-01-17,SME Loan,Married,Car,13500,Full-time,640,96,18500,282.68364251200916,250,39.06,137.04,No,New Customer,,11.3,Expanding Business,5,Rejected,0,0
KH00263,CHAI Cheableng,48,Kampot,2025-02-13,SME Loan,Single,House,95500,Part-time,320,96,7500,111.43906924357825,200,62.5,7.85,Yes,Existing Customer,Loan,7.9,Expand Farm,4,Approved,1,1
KH00266,PRAK Dyna,46,Battambang,2025-07-28,SME Loan,Single,Land,92000,Full-time,200,84,9000,146.63535032376905,100,50.0,9.78,Yes,Existing Customer,Deposit,7.6,Expand Farm,1,Approved,1,1
KH00270,SOPHEAP Chealong,26,Kampot,2024-11-20,SME Loan,Single,House,45000,Part-time,120,96,3500,53.853242135507585,100,83.33,7.78,Yes,New Customer,,10.4,Buy land,4,Rejected,0,1
KH00274,BOREY Ratana,41,Phnom Penh,2024-10-27,SME Loan,Married,House,100000,Self-employed,350,84,8000,129.52610399799352,200,57.14,8.0,No,Existing Customer,Card,7.9,Refinance,4,Rejected,0,0
KH00275,DOUK Pisey,58,Kampot,2025-04-08,SME Loan,Married,House,34000,Full-time,250,108,16500,232.29832258662577,100,40.0,48.53,No,New Customer,,8.6,Buy land,3,Approved,1,0
KH00278,SOPHEAP Virakvong,41,Battambang,2024-08-14,SME Loan,Married,House,128500,Self-employed,130,48,2000,49.01382323808438,0,0.0,1.56,Yes,Existing Customer,Loan,8.2,Expand Farm,4,Approved,1,1
KH00279,CHEAB David,48,Prey Veng,2024-12-25,SME Loan,Single,House,204000,Full-time,450,36,10500,330.9728218039777,250,55.56,5.15,No,Existing Customer,Card,7.0,Expand Farm,4,Approved,1,0
KH00280,PISETH Sokha,38,Kandal,2024-08-04,SME Loan,Single,Car,19500,Part-time,520,60,16500,341.71261936973974,0,0.0,84.62,Yes,New Customer,,9.2,Buy land,3,Rejected,0,1
KH00284,SENG Nita,43,Battambang,2024-08-16,SME Loan,Single,House,59500,Part-time,160,48,3000,72.95745228978885,0,0.0,5.04,Yes,Existing Customer,KHQR,8.1,Refinance,3,Approved,1,1
KH00285,HONG Chhim,50,Kandal,2025-11-25,SME Loan,Married,Car,42000,Self-employed,560,72,23500,423.60012345438537,0,0.0,55.95,No,Existing Customer,KHQR,7.6,Expanding Business,3,Rejected,0,0
KH00286,SENG Virakvong,39,Siem Reap,2025-06-08,SME Loan,Single,Car,22500,Full-time,140,60,5000,101.14284851027388,50,35.71,22.22,Yes,Existing Customer,KHQR,6.6,Buy land,4,Approved,1,1
KH00287,CHEA Ly,65,Phnom Penh,2024-06-10,SME Loan,Single,House,156500,Part-time,240,60,4000,84.2030558543383,200,83.33,2.56,No,New Customer,,9.5,Buy land,5,Rejected,0,0
KH00288,CHAN Soklin,42,Prey Veng,2024-10-21,SME Loan,Single,Land,80500,Full-time,490,48,12500,308.69428259382204,400,81.63,15.53,Yes,Existing Customer,Deposit,6.9,Expand Farm,3,Rejected,0,1
KH00293,DOUK Socheata,45,Kampong Cham,2024-02-19,SME Loan,Married,House,30000,Full-time,310,108,8000,111.7649019920098,0,0.0,26.67,Yes,New Customer,,8.3,Loan Consolidation,3,Approved,1,1
KH00295,VUTHY Leakhena,59,Phnom Penh,2025-09-27,SME Loan,Single,House,398000,Full-time,260,84,7500,124.12170165139018,0,0.0,1.88,Yes,New Customer,,8.3,Expand Farm,3,Approved,1,1
KH00297,SOPHEAP Leng,63,Siem Reap,2024-11-10,SME Loan,Single,Land,279000,Full-time,320,96,13500,208.4402187578411,150,46.88,4.84,Yes,New Customer,,8.8,Expanding Business,5,Approved,1,1
KH00299,MAO Phan,47,Kampot,2025-08-04,SME Loan,Married,Car,15500,Part-time,220,72,3500,63.96141784650133,150,68.18,22.58,Yes,Existing Customer,Loan,9.6,Expanding Business,4,Approved,1,1
KH00302,VANNA Leakhena,26,Kampong Cham,2024-07-09,SME Loan,Single,Land,47500,Full-time,440,84,13500,226.91600524388824,250,56.82,28.42,No,New Customer,,8.8,Loan Consolidation,5,Approved,1,0
KH00303,PISETH Kimheng,58,Kampot,2025-06-02,SME Loan,Married,Land,99000,Self-employed,830,72,14000,260.06827924265986,0,0.0,14.14,Yes,New Customer,,8.6,Refinance,5,Approved,1,1
KH00305,SOK Chhay,57,Kandal,2025-10-27,SME Loan,Divorce,Car,27500,Full-time,240,108,7000,101.2236647701692,200,83.33,25.45,No,New Customer,,9.2,Refinance,3,Rejected,0,0
KH00306,CHAN Kimheng,39,Phnom Penh,2025-01-31,SME Loan,Divorce,House,256000,Self-employed,1560,36,20000,627.6503584943579,0,0.0,7.81,Yes,Existing Customer,KHQR,6.4,Buy land,5,Approved,1,1
KH00307,DOUK Monyka,34,Kampong Cham,2025-07-01,SME Loan,Divorce,Land,138500,Full-time,460,36,10000,319.3954038038651,200,43.48,7.22,Yes,New Customer,,7.7,Expand Farm,3,Approved,1,1
KH00309,KRY Phan,44,Kampot,2024-05-22,SME Loan,Married,House,31000,Full-time,780,60,13000,264.2157248799323,350,44.87,41.94,No,Existing Customer,Loan,6.6,Buy land,3,Approved,1,0
KH00310,KHUN Thyda,29,Prey Veng,2025-11-04,SME Loan,Married,Land,118500,Full-time,280,48,8000,199.4604231955348,0,0.0,6.75,Yes,New Customer,,7.3,Expanding Business,2,Approved,1,1
KH00311,SOK Chhay,37,Phnom Penh,2025-07-23,SME Loan,Married,House,223500,Full-time,1060,72,38000,705.8996150872197,200,18.87,17.0,No,New Customer,,8.6,Expand Farm,5,Approved,1,0
KH00312,UM Sakada,59,Phnom Penh,2024-12-06,SME Loan,Single,House,220000,Full-time,750,96,20500,305.67319042449066,600,80.0,9.32,Yes,Existing Customer,Loan,7.9,Refinance,3,Approved,1,1
KH00314,HOUEN Chhay,42,Kampong Cham,2024-04-28,SME Loan,Single,Land,78500,Full-time,410,48,10000,246.4830335883572,350,85.37,12.74,No,Existing Customer,Card,7.2,Buy land,4,Rejected,0,0
